timestamp, angle
12.939265645, -0.07068583470577035
12.940447321, -0.06806784082777885
12.94162533, -0.06544984694978735
12.942837005, -0.06283185307179587
12.944034347, -0.06021385919380436
12.945062288, -0.05759586531581287
12.946190114, -0.05497787143782139
12.947319866, -0.05235987755982988
12.948485561, -0.04974188368183839
12.949727216, -0.047123889803846894
12.950882079, -0.0445058959258554
12.952077754, -0.04188790204786391
12.953267819, -0.039269908169872414
12.954463605, -0.03665191429188092
12.955578395, -0.034033920413889425
12.956711036, -0.031415926535897934
12.957931784, -0.028797932657906436
12.959038889, -0.02617993877991494
12.960204991, -0.023561944901923447
12.961415185, -0.020943951023931956
12.962545881, -0.01832595714594046
12.96368604, -0.015707963267948967
12.964868031, -0.01308996938995747
12.966011319, -0.010471975511965978
12.967231975, -0.007853981633974483
