time, angle
14.828, 1.377064779823526
14.838, 1.377064779823526
14.848, 1.36659280431156
14.858, 1.356120828799594
14.868, 1.3404128655316452
14.878, 1.319468914507713
14.888, 1.293288975727798
14.898, 1.2671090369478832
14.908, 1.2356931104119853
14.918, 1.2042771838760875
14.928, 1.1623892818282235
14.938, 1.1257373675363425
14.948, 1.0786134777324956
14.958, 1.0314895879286488
14.968, 0.9791297103688188
14.978, 0.932005820564972
14.988, 0.8744099552491591
14.998, 0.8115781021773633
15.008, 0.7487462491055674
15.019, 0.6806784082777886
15.029, 0.6126105674500096
15.039, 0.5393067388662478
15.049, 0.466002910282486
15.059, 0.39269908169872414
15.069, 0.3246312408709453
15.079, 0.24609142453120048
15.089, 0.16755160819145565
15.099, 0.0890117918517108
15.109, 0.015707963267948967
15.119, -0.06283185307179587
15.129, -0.1413716694115407
15.139, -0.21991148575128555
15.149, -0.28797932657906433
15.159, -0.3612831551628262
15.169, -0.4398229715025711
15.179, -0.5078908123303498
15.19, -0.5811946409141118
15.2, -0.6492624817418906
15.21, -0.7173303225696694
15.22, -0.7801621756414653
15.23, -0.8377580409572781
15.24, -0.890117918517108
15.25, -0.947713783832921
15.26, -1.0000736613927508
15.27, -1.0471975511965976
15.28, -1.0890854532444616
15.29, -1.1309733552923256
15.3, -1.1676252695842064
15.31, -1.2042771838760875
15.32, -1.2356931104119853
15.33, -1.2618730491919004
15.34, -1.288052987971815
15.35, -1.3089969389957472
15.36, -1.324704902263696
15.37, -1.335176877775662
15.38, -1.345648853287628
15.39, -1.350884841043611
15.4, -1.356120828799594
15.41, -1.356120828799594
15.42, -1.350884841043611
15.43, -1.345648853287628
15.44, -1.3299408900196792
15.45, -1.31423292675173
15.46, -1.2985249634837812
15.47, -1.2723450247038663
15.48, -1.2461650859239513
15.49, -1.2199851471440362
15.5, -1.1833332328521553
15.51, -1.1466813185602744
15.52, -1.1047934165124107
15.531, -1.0576695267085636
15.541, -1.0105456369047168
15.551, -0.9581857593448869
15.561, -0.905825881785057
15.571, -0.8482300164692442
15.581, -0.7958701389094143
15.591, -0.7330382858376184
15.601, -0.6649704450098396
15.611, -0.5969026041820606
15.621, -0.5340707511102649
15.631, -0.460766922526503
15.641, -0.38746309394274114
15.651, -0.3141592653589793
15.661, -0.24609142453120048
15.671, -0.16755160819145565
15.681, -0.0890117918517108
15.691, -0.010471975511965978
15.702, 0.06806784082777885
15.712, 0.1466076571675237
15.722, 0.21991148575128555
15.732, 0.2984513020910303
15.742, 0.37699111843077515
15.752, 0.4398229715025711
15.762, 0.5131268000863328
15.772, 0.5864306286700948
