time, angle
30.914, -0.635299848
30.931, -0.561996019
30.948, -0.485201532
30.964, -0.408407045
30.981, -0.333357887
30.998, -0.2565634
31.014, -0.181514242
31.031, -0.104719755
31.048, -0.031415927
31.064, 0.041887902
31.081, 0.11693706
31.098, 0.190240888
31.114, 0.265290046
31.131, 0.336848546
31.148, 0.410152374
31.164, 0.486946861
31.181, 0.558505361
31.198, 0.63006386
31.215, 0.701622359
31.231, 0.767944871
31.248, 0.827286065
31.265, 0.883136602
31.281, 0.93375115
31.298, 0.97912971
31.315, 1.015781625
31.331, 1.04894288
31.348, 1.075122819
31.365, 1.09606677
31.381, 1.104793417
31.398, 1.106538746
31.415, 1.103048087
31.431, 1.090830782
31.448, 1.068141502
31.465, 1.040216234
31.481, 1.005309649
31.498, 0.963421747
31.515, 0.916297857
31.532, 0.86219265
31.548, 0.806342114
31.565, 0.738274274
31.582, 0.671951762
31.598, 0.598647933
31.615, 0.523598776
31.632, 0.450294947
31.648, 0.376991118
31.665, 0.30368729
31.682, 0.230383461
31.698, 0.157079633
31.715, 0.083775804
31.732, 0.010471976
31.748, -0.062831853
31.765, -0.136135682
31.782, -0.20943951
31.798, -0.28099801
31.815, -0.357792497
31.832, -0.431096325
31.848, -0.506145483
31.865, -0.577703982
31.882, -0.649262482
31.899, -0.715584993
31.915, -0.778416846
31.932, -0.841248699
31.949, -0.881391272
31.965, -0.932005821
31.982, -0.98087504
31.999, -1.024508271
32.015, -1.061160185
32.032, -1.089085453
32.049, -1.111774734
32.065, -1.125737368
32.082, -1.130973355
32.099, -1.139700002
32.115, -1.130973355
32.132, -1.12050138
32.149, -1.0978121
32.165, -1.071632161
32.182, -1.031489588
32.199, -0.986111027
32.216, -0.935496479
32.232, -0.879645943
32.249, -0.818559419
32.266, -0.755727566
32.282, -0.687659725
32.299, -0.617846555
32.316, -0.546288056
32.332, -0.472984227
32.349, -0.399680399
32.366, -0.324631241
32.382, -0.251327412
32.399, -0.176278254
32.416, -0.101229097
32.432, -0.027925268
32.449, 0.043633231
32.466, 0.113446401
32.482, 0.18675023
32.499, 0.260054059
32.516, 0.331612558
32.532, 0.406661716
32.549, 0.478220215
32.566, 0.548033385
32.583, 0.617846555
32.599, 0.684169067
32.616, 0.74700092
32.633, 0.808087444
32.649, 0.856956663
32.666, 0.90931654
32.683, 0.951204442
32.699, 0.989601686
32.716, 1.021017612
32.733, 1.045452222
32.749, 1.061160185
32.766, 1.068141502
32.783, 1.068141502
32.799, 1.062905514
32.816, 1.04894288
32.833, 1.0262536
32.849, 1.000073661
32.866, 0.965167076
32.883, 0.925024504
32.9, 0.876155285
32.916, 0.820304748
32.933, 0.764454212
32.95, 0.706858347
32.966, 0.649262482
32.983, 0.593411946
33, 0.527089434
33.016, 0.459021593
33.033, 0.389208423
33.05, 0.319395253
33.066, 0.249582083
33.083, 0.176278254
33.1, 0.109955743
33.116, 0.040142573
33.133, -0.029670597
33.15, -0.099483767
33.166, -0.169296937
33.183, -0.239110108
33.2, -0.310668607
33.217, -0.382227106
33.233, -0.452040276
33.25, -0.525344105
33.267, -0.595157275
33.283, -0.661479787
33.3, -0.726056969
33.317, -0.785398163
33.333, -0.844739358
33.35, -0.898844565
33.367, -0.947713784
33.383, -0.989601686
33.4, -1.0262536
33.417, -1.054178868
33.433, -1.075122819
33.45, -1.089085453
33.467, -1.092576112
33.483, -1.087340124
33.5, -1.07337749
33.517, -1.052433539
33.533, -1.022762942
33.55, -0.986111027
33.567, -0.944223125
33.584, -0.895353906
33.6, -0.83950337
33.617, -0.780162176
33.634, -0.717330323
33.65, -0.651007811
33.667, -0.58293997
33.684, -0.514872129
33.7, -0.445058959
33.717, -0.376991118
33.734, -0.305432619
33.75, -0.235619449
33.767, -0.16406095
33.784, -0.09250245
33.8, -0.02268928
33.817, 0.045378561
33.834, 0.115191731
33.85, 0.179768913
33.867, 0.242600766
33.884, 0.308923278
33.901, 0.375245789
33.917, 0.441568301
33.934, 0.511381471
33.951, 0.577703982
33.967, 0.647517152
33.984, 0.706858347
34.001, 0.764454212
34.017, 0.818559419
34.034, 0.86393798
34.051, 0.90931654
34.067, 0.942477796
34.084, 0.972148393
34.101, 1.000073661
34.117, 1.019272283
34.134, 1.031489588
34.151, 1.034980246
34.167, 1.034980246
34.184, 1.022762942
34.201, 1.005309649
34.218, 0.977384381
34.234, 0.947713784
34.251, 0.90931654
34.268, 0.867428638
34.284, 0.81681409
34.301, 0.762708883
34.318, 0.708603676
34.334, 0.649262482
34.351, 0.586430629
34.368, 0.532325422
34.384, 0.46774824
34.401, 0.403171057
34.418, 0.335103216
34.434, 0.265290046
34.451, 0.18675023
34.468, 0.115191731
34.484, 0.059341195
34.501, -0.006981317
34.518, -0.076794487
34.535, -0.143116999
34.551, -0.212930169
34.568, -0.27925268
34.585, -0.34906585
34.601, -0.417133691
34.618, -0.485201532
34.635, -0.555014702
34.651, -0.623082543
34.668, -0.687659725
34.685, -0.748746249
34.701, -0.804596785
34.718, -0.856956663
34.735, -0.905825882
34.751, -0.945968455
34.768, -0.982620369
34.785, -1.010545637
34.801, -1.031489588
34.818, -1.04894288
34.835, -1.052433539
34.851, -1.052433539
34.868, -1.040216234
34.885, -1.022762942
34.902, -0.998328332
34.918, -0.966912406
34.935, -0.923279174
34.952, -0.876155285
34.968, -0.822050078
34.985, -0.766199542
35.002, -0.703367689
35.018, -0.638790506
35.035, -0.574213324
35.052, -0.507890812
35.068, -0.439822972
35.085, -0.37350046
35.102, -0.30368729
35.118, -0.235619449
35.135, -0.167551608
35.152, -0.099483767
35.168, -0.031415927
35.185, 0.036651914
35.202, 0.102974426
35.219, 0.171042267
35.235, 0.235619449
35.252, 0.296705973
35.269, 0.361283155
35.285, 0.422369679
35.302, 0.485201532
35.319, 0.546288056
35.335, 0.609119909
35.352, 0.668461104
35.369, 0.727802298
35.385, 0.781907505
35.402, 0.829031395
35.419, 0.870919297
35.435, 0.90931654
35.452, 0.940732467
35.469, 0.965167076
35.485, 0.982620369
35.502, 0.996583003
35.519, 1.001818991
35.535, 1.000073661
35.552, 0.989601686
35.569, 0.972148393
35.586, 0.949459113
35.602, 0.918043187
35.619, 0.884881931
35.636, 0.841248699
35.652, 0.79237948
35.669, 0.740019603
35.686, 0.682423738
35.702, 0.624827872
35.719, 0.567232007
35.736, 0.504400154
35.752, 0.445058959
35.769, 0.383972435
35.786, 0.322885912
35.802, 0.254818071
35.819, 0.190240888
35.836, 0.122173048
35.852, 0.055850536
35.869, -0.012217305
35.886, -0.078539816
35.903, -0.146607657
35.919, -0.212930169
35.936, -0.28099801
35.953, -0.347320521
35.969, -0.411897703
35.986, -0.478220215
36.003, -0.542797397
36.019, -0.60562925
36.036, -0.668461104
36.053, -0.727802298
36.069, -0.785398163
36.086, -0.836012712
36.103, -0.883136602
36.119, -0.923279174
36.136, -0.954695101
36.153, -0.98087504
36.169, -0.998328332
36.186, -1.012290966
36.203, -1.015781625
36.22, -1.012290966
36.236, -1.000073661
36.253, -0.982620369
36.27, -0.95644043
36.286, -0.925024504
36.303, -0.884881931
36.32, -0.83950337
36.336, -0.788888822
36.353, -0.733038286
36.37, -0.673697091
36.386, -0.610865238
36.403, -0.546288056
36.42, -0.478220215
36.436, -0.411897703
36.453, -0.345575192
36.47, -0.27925268
36.486, -0.212930169
36.503, -0.146607657
36.52, -0.080285146
36.537, -0.013962634
36.553, 0.050614548
36.57, 0.11693706
36.587, 0.183259571
36.603, 0.247836754
36.62, 0.314159265
36.637, 0.376991118
36.653, 0.436332313
36.67, 0.493928178
36.687, 0.551524044
36.703, 0.609119909
36.72, 0.664970445
36.737, 0.717330323
36.753, 0.766199542
36.77, 0.811578102
36.787, 0.853466004
36.803, 0.890117919
36.82, 0.918043187
36.837, 0.942477796
36.853, 0.959931089
36.87, 0.968657735
36.887, 0.970403064
36.904, 0.965167076
36.92, 0.952949772
36.937, 0.945968455
36.954, 0.930260491
36.97, 0.902335223
36.987, 0.86393798
37.004, 0.822050078
37.02, 0.771435529
37.037, 0.720820981
37.054, 0.663225116
37.07, 0.60737458
37.087, 0.542797397
37.104, 0.478220215
37.12, 0.413643033
37.137, 0.34906585
37.154, 0.284488668
37.17, 0.223402144
37.187, 0.160570291
37.204, 0.095993109
37.221, 0.029670597
37.237, -0.036651914
37.271, -0.172787596
37.287, -0.834267382
37.304, -0.869173967
37.321, -0.900589894
37.337, -0.93375115
37.354, -0.493928178
37.371, -0.993092344
37.387, -1.022762942
37.404, -0.673697091
37.421, -0.729547627
37.437, -0.774926188
37.454, -0.820304748
37.471, -0.858701992
37.487, -0.891863248
37.504, -0.921533845
37.521, -0.944223125
37.538, -0.961676418
37.554, -0.970403064
37.571, -0.970403064
37.588, -0.963421747
37.604, -0.947713784
37.621, -0.925024504
37.638, -0.898844565
37.654, -0.86393798
37.671, -0.851720675
37.688, -0.806342114
37.704, -0.759218225
37.721, -0.703367689
37.738, -0.647517152
37.754, -0.588175958
37.771, -0.525344105
37.788, -0.459021593
37.804, -0.392699082
37.821, -0.328121899
37.838, -0.260054059
37.854, -0.193731547
37.871, -0.127409035
37.888, -0.059341195
37.905, 0.005235988
37.921, 0.06981317
37.938, 0.136135682
37.955, 0.200712864
37.971, 0.267035376
37.988, 0.331612558
38.005, 0.397935069
38.021, 0.464257581
38.038, 0.527089434
38.055, 0.584685299
38.071, 0.640535835
38.088, 0.689405055
38.105, 0.738274274
38.121, 0.783652834
38.138, 0.825540736
38.155, 0.858701992
38.171, 0.890117919
38.188, 0.914552528
38.205, 0.930260491
38.222, 0.942477796
38.238, 0.947713784
38.255, 0.947713784
38.272, 0.938987138
38.288, 0.923279174
38.305, 0.902335223
38.322, 0.874409955
38.338, 0.83950337
38.355, 0.802851456
38.372, 0.774926188
38.388, 0.729547627
38.405, 0.673697091
38.422, 0.616101226
38.438, 0.558505361
38.455, 0.499164166
38.472, 0.438077642
38.488, 0.375245789
38.505, 0.312413936
38.522, 0.247836754
38.538, 0.18675023
38.555, 0.123918377
38.572, 0.064577182
38.589, 0
38.605, -0.064577182
38.622, -0.129154365
38.639, -0.191986218
38.655, -0.258308729
38.672, -0.321140582
38.689, -0.387463094
38.705, -0.448549618
38.722, -0.511381471
38.739, -0.568977336
38.755, -0.628318531
38.772, -0.680678408
38.789, -0.733038286
38.805, -0.780162176
38.822, -0.823795407
38.839, -0.858701992
38.855, -0.88662726
38.872, -0.907571211
38.889, -0.925024504
38.906, -0.93375115
38.922, -0.935496479
38.939, -0.930260491
38.956, -0.919788516
38.972, -0.900589894
38.989, -0.884881931
39.006, -0.856956663
39.022, -0.829031395
39.039, -0.788888822
39.056, -0.741764932
39.072, -0.691150384
39.089, -0.638790506
39.106, -0.581194641
39.122, -0.520108117
39.139, -0.46600291
39.156, -0.403171057
39.172, -0.336848546
39.189, -0.274016693
39.206, -0.205948852
39.223, -0.136135682
39.239, -0.073303829
39.256, -0.012217305
39.273, 0.052359878
39.289, 0.11693706
39.306, 0.179768913
39.323, 0.246091425
39.339, 0.308923278
39.356, 0.371755131
39.373, 0.431096325
39.389, 0.492182849
39.406, 0.549778714
39.423, 0.60562925
39.439, 0.657989128
39.456, 0.703367689
39.473, 0.748746249
39.489, 0.788888822
39.506, 0.823795407
39.523, 0.853466004
39.54, 0.876155285
39.556, 0.895353906
39.573, 0.905825882
39.59, 0.90931654
39.606, 0.90931654
39.623, 0.900589894
39.64, 0.884881931
39.656, 0.86393798
39.673, 0.836012712
39.69, 0.802851456
39.706, 0.762708883
39.723, 0.720820981
39.74, 0.675442421
39.756, 0.623082543
39.773, 0.570722665
39.79, 0.516617459
39.806, 0.460766923
39.823, 0.404916386
39.84, 0.343829863
39.856, 0.284488668
39.873, 0.219911486
39.89, 0.160570291
39.907, 0.097738438
39.923, 0.034906585
39.94, -0.027925268
39.957, -0.090757121
39.973, -0.153588974
39.99, -0.214675498
40.007, -0.27925268
40.023, -0.340339204
40.04, -0.403171057
40.057, -0.46774824
40.073, -0.530580093
40.09, -0.589921287
40.107, -0.645771823
40.123, -0.701622359
40.14, -0.745255591
40.157, -0.787143493
40.173, -0.823795407
40.19, -0.858701992
40.207, -0.88662726
40.224, -0.905825882
40.24, -0.921533845
40.257, -0.930260491
40.274, -0.930260491
40.29, -0.923279174
40.307, -0.912807199
40.324, -0.893608577
40.34, -0.869173967
40.357, -0.853466004
40.374, -0.820304748
40.39, -0.776671517
40.407, -0.731292957
40.424, -0.682423738
40.44, -0.63006386
40.457, -0.574213324
40.474, -0.514872129
40.49, -0.457276264
40.507, -0.394444411
40.524, -0.333357887
40.541, -0.267035376
40.557, -0.204203522
40.574, -0.136135682
40.591, -0.06981317
40.607, -0.003490659
40.624, 0.061086524
40.641, 0.122173048
40.657, 0.183259571
40.674, 0.242600766
40.691, 0.30368729
40.707, 0.364773814
40.724, 0.424115008
40.741, 0.485201532
40.757, 0.542797397
40.774, 0.596902604
40.791, 0.645771823
40.807, 0.694641042
40.824, 0.736528944
40.841, 0.773180859
40.857, 0.806342114
40.874, 0.836012712
40.891, 0.856956663
40.908, 0.872664626
40.924, 0.883136602
